origin,destination,weight,PROVINCIA ORIGEN,PROVINCIA DESTINO
26,05,7.690187961010748e-05,La Rioja,Ávila
26,45,0.0002627480886678672,La Rioja,Toledo
26,49,6.408489967508956e-05,La Rioja,Zamora
26,13,0.0,La Rioja,Ciudad Real
26,02,0.00012816979935017912,La Rioja,Albacete
26,31,0.14921528040347853,La Rioja,Navarra
26,24,0.0008266952058086554,La Rioja,León
26,46,0.00319142800381946,La Rioja,Valencia/València
26,50,0.019276737822266937,La Rioja,Zaragoza
26,01,0.07811308421396666,La Rioja,Araba/Álava
26,39,0.0029414968950866108,La Rioja,Cantabria
26,28,0.013329659132418629,La Rioja,Madrid
26,22,0.0029350884051191017,La Rioja,Huesca
26,47,0.0008074697359061286,La Rioja,Valladolid
26,12,0.001172753664054139,La Rioja,Castellón/Castelló
26,34,0.00019225469902526868,La Rioja,Palencia
26,11,0.0001025358394801433,La Rioja,Cádiz
26,15,0.00023070563883032243,La Rioja,A Coruña
26,37,0.000442185807758118,La Rioja,Salamanca
26,35,9.612734951263434e-05,La Rioja,Las Palmas
26,16,4.485942977256269e-05,La Rioja,Cuenca
26,38,0.00012816979935017912,La Rioja,Santa Cruz de Tenerife
26,29,0.00019866318899277764,La Rioja,Málaga
26,07,0.00037169241811551944,La Rioja,Balears
26,17,0.000595989566978333,La Rioja,Girona
26,09,0.02208365642803586,La Rioja,Burgos
26,21,3.204244983754478e-05,La Rioja,Huelva
26,19,0.0007113423863934941,La Rioja,Guadalajara
26,42,0.006036797549393437,La Rioja,Soria
26,33,0.0008202867158411464,La Rioja,Asturias
26,10,7.049338964259852e-05,La Rioja,Cáceres
26,41,0.00018584620905775972,La Rioja,Sevilla
26,30,0.0005511301372057702,La Rioja,Murcia
26,27,7.049338964259852e-05,La Rioja,Lugo
26,06,0.0001602122491877239,La Rioja,Badajoz
26,04,5.126791974007165e-05,La Rioja,Almería
26,14,3.845093980505373e-05,La Rioja,Córdoba
26,40,0.0001730292291227418,La Rioja,Segovia
35,36,0.0012047961138916838,Las Palmas,Pontevedra
35,24,0.0002178886588953045,Las Palmas,León
35,09,0.00015380375922021495,Las Palmas,Burgos
35,37,0.00021148016892779555,Las Palmas,Salamanca
35,39,0.000589581077010824,Las Palmas,Cantabria
35,05,0.00013457828931768808,Las Palmas,Ávila
35,10,8.971885954512538e-05,Las Palmas,Cáceres
35,06,0.00012816979935017912,Las Palmas,Badajoz
35,02,6.408489967508956e-05,Las Palmas,Albacete
35,25,5.76764097075806e-05,Las Palmas,Lleida
35,51,2.5633959870035824e-05,Las Palmas,Ceuta
35,38,0.032632030914555604,Las Palmas,Santa Cruz de Tenerife
35,13,0.00010894432944765226,Las Palmas,Ciudad Real
35,31,0.0006344405067833867,Las Palmas,Navarra
35,22,0.0001730292291227418,Las Palmas,Huesca
35,30,0.0001153528194151612,Las Palmas,Murcia
35,03,0.00026915657863537615,Las Palmas,Alicante/Alacant
35,45,0.00022429714886281347,Las Palmas,Toledo
35,23,0.0001602122491877239,Las Palmas,Jaén
35,41,0.0016982498413898733,Las Palmas,Sevilla
35,48,0.0006344405067833867,Las Palmas,Bizkaia
35,32,0.00017943771909025076,Las Palmas,Ourense
35,15,0.0012624725235992644,Las Palmas,A Coruña
35,50,0.00044859429772562694,Las Palmas,Zaragoza
35,07,0.0015380375922021494,Las Palmas,Balears
