Fecha,cod_ine,provincia,Casos,Fallecidos,Hospitalizados,UCI,z_newCases
2020-04-06,40,Segovia,52,16,13,0,0.0005512019304736159
2020-04-06,41,Sevilla,56,11,32,1,-0.5878048943557426
2020-04-06,42,Soria,7,1,14,0,-0.38627313855839995
2020-04-06,43,Tarragona,63,11,21,1,-0.3459978070940146
2020-04-06,44,Teruel,19,5,2,2,-0.29689031973378943
2020-04-06,45,Toledo,117,20,74,3,-0.25124195442975317
2020-04-06,46,Valencia/València,73,25,51,3,-0.40372333258323745
2020-04-06,47,Valladolid,128,13,33,2,-0.16940368672944126
2020-04-06,48,Bizkaia,177,28,70,5,-0.2669110718980091
2020-04-06,49,Zamora,12,2,5,0,-0.3702991566925716
2020-04-06,50,Zaragoza,121,26,46,6,-0.30638496629896916
2020-04-06,51,Ceuta,0,1,0,0,-0.40761170095182025
2020-04-07,0,No consta,86,4,19,2,0.6064258588766572
2020-04-07,1,Araba/Álava,66,9,10,0,-0.20408246619473125
2020-04-07,2,Albacete,82,6,39,0,-0.11192071116332665
2020-04-07,3,Alicante/Alacant,71,18,23,6,-0.38208809546303923
2020-04-07,4,Almería,12,3,2,2,-0.5431075945203282
2020-04-07,5,Ávila,25,3,8,0,-0.23214659480209157
2020-04-07,6,Badajoz,13,3,8,2,-0.45252429855827153
2020-04-07,7,Balears,34,10,27,3,-0.4275373442704369
2020-04-07,8,Barcelona,970,131,376,27,-0.2574394524463298
2020-04-07,9,Burgos,26,3,16,1,-0.3835122381905859
2020-04-07,10,Cáceres,49,7,28,1,-0.2541361996414633
2020-04-07,11,Cádiz,20,1,2,1,-0.5852449546955723
2020-04-07,12,Castellón/Castelló,30,10,23,0,-0.34433365230922514
2020-04-07,13,Ciudad Real,157,31,50,1,0.07276836923072964
2020-04-07,14,Córdoba,20,4,12,0,-0.524073178448662
2020-04-07,15,A Coruña,76,11,23,1,-0.34033896708854683
2020-04-07,16,Cuenca,61,6,38,2,-0.009315628004866355
2020-04-07,17,Girona,72,16,21,2,-0.36105115989483394
2020-04-07,18,Granada,53,8,29,2,-0.490947125844995
2020-04-07,19,Guadalajara,38,1,23,2,-0.27027011476434487
2020-04-07,20,Gipuzkoa,113,10,19,0,-0.3002389429765644
2020-04-07,21,Huelva,7,0,4,1,-0.5928275157827116
2020-04-07,22,Huesca,9,6,4,0,-0.42797936356017496
2020-04-07,23,Jaén,27,7,23,1,-0.5219715947733031
2020-04-07,24,León,44,15,29,1,-0.3401637518708901
2020-04-07,25,Lleida,71,2,12,2,-0.30313114497429283
2020-04-07,26,La Rioja,94,15,25,1,-0.08366812764043545
2020-04-07,27,Lugo,10,1,2,1,-0.40129510411516206
2020-04-07,28,Madrid,1355,169,715,32,-0.1956108488215026
2020-04-07,29,Málaga,48,5,18,2,-0.5742633462286759
2020-04-07,30,Murcia,31,4,8,1,-0.4053249371565235
2020-04-07,31,Navarra,192,20,53,0,-0.14724404090454943
2020-04-07,32,Ourense,78,8,13,0,-0.002722902273167614
2020-04-07,33,Asturias,29,6,29,1,-0.41074055129891845
2020-04-07,34,Palencia,10,0,12,0,-0.4422496841964611
2020-04-07,35,Las Palmas,5,0,3,2,-0.41757928762056273
2020-04-07,36,Pontevedra,64,8,14,1,-0.34285746170121967
2020-04-07,37,Salamanca,71,12,27,1,-0.16269789223120323
2020-04-07,38,Santa Cruz de Tenerife,61,0,13,0,-0.262262544808824
2020-04-07,39,Cantabria,72,3,17,0,-0.2465118645405278
2020-04-07,40,Segovia,58,12,17,2,0.05831716424410549
2020-04-07,41,Sevilla,90,11,18,3,-0.5200075978889502
2020-04-07,42,Soria,16,10,13,3,-0.23618546514512295
2020-04-07,43,Tarragona,59,11,19,1,-0.35261027506254894
2020-04-07,44,Teruel,5,6,3,0,-0.4364214155888599
2020-04-07,45,Toledo,147,18,70,1,-0.1653615884634487
2020-04-07,46,Valencia/València,128,30,51,0,-0.37572719576778596
2020-04-07,47,Valladolid,134,12,41,3,-0.1535627138224945
2020-04-07,48,Bizkaia,245,28,72,1,-0.1893003317936379
2020-04-07,49,Zamora,23,3,13,0,-0.25441648300052094
2020-04-07,50,Zaragoza,66,19,55,5,-0.3754190746325862
2020-04-07,51,Ceuta,0,0,0,0,-0.40761170095182025
2020-04-08,0,No consta,161,5,23,2,1.8414429382927748
2020-04-08,1,Araba/Álava,51,12,8,1,-0.26624197112732784
2020-04-08,2,Albacete,70,20,32,1,-0.16736378614717629
2020-04-08,3,Alicante/Alacant,81,12,23,4,-0.37443178071123495
2020-04-08,4,Almería,11,3,2,0,-0.5466375625954535
2020-04-08,5,Ávila,41,10,7,0,-0.07690488597346753
2020-04-08,6,Badajoz,17,4,3,0,-0.4423841316765963
2020-04-08,7,Balears,45,10,28,2,-0.41117707695274086
2020-04-08,8,Barcelona,957,148,358,21,-0.26032055559925527
2020-04-08,9,Burgos,59,5,19,0,-0.2632334072490665
2020-04-08,10,Cáceres,83,9,25,3,-0.0972080652725353
2020-04-08,11,Cádiz,19,11,9,3,-0.5880530672538141
2020-04-08,12,Castellón/Castelló,73,5,19,0,-0.2554806481348814
2020-04-08,13,Ciudad Real,126,31,40,0,-0.04511435696273882
2020-04-08,14,Córdoba,15,4,11,1,-0.5411013430357597
2020-04-08,15,A Coruña,69,4,21,2,-0.3523762576667162
2020-04-08,16,Cuenca,48,13,19,0,-0.1156699151039996
2020-04-08,17,Girona,66,11,10,0,-0.3712162113259027
2020-04-08,18,Granada,68,12,20,0,-0.44499245426354994
2020-04-08,19,Guadalajara,55,4,30,0,-0.16686416832404088
2020-04-08,20,Gipuzkoa,89,5,9,1,-0.3391148030073833
2020-04-08,21,Huelva,11,1,5,1,-0.5672177971877758
2020-04-08,22,Huesca,35,2,6,0,-0.2829179754435489
2020-04-08,23,Jaén,71,4,21,2,-0.31476231053404513
2020-04-08,24,León,51,5,23,1,-0.3128995126902585
2020-04-08,25,Lleida,60,2,16,0,-0.33804258838125867
2020-04-08,26,La Rioja,81,15,22,0,-0.14156998529231282
2020-04-08,27,Lugo,15,1,3,0,-0.3675034613568628
2020-04-08,28,Madrid,1399,178,629,47,-0.18252259245896527
2020-04-08,29,Málaga,54,11,13,3,-0.5617102692162516
2020-04-08,30,Murcia,28,6,11,0,-0.4080962973014339
2020-04-08,31,Navarra,128,12,43,2,-0.25126567157699914
2020-04-08,32,Ourense,35,1,7,2,-0.27024805061188156
2020-04-08,33,Asturias,46,6,23,3,-0.3784774099003249
2020-04-08,34,Palencia,37,2,12,0,-0.21475185852642603
